IsBadBuy,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VehBCost,IsOnlineSale,WarrantyCost
0,5,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,WHITE,AUTO,1.0,Alloy,98530,AMERICAN,MEDIUM,2799.0,3989.0,3523.0,4808.0,2985.0,4287.0,6016.0,7547.0,3020.0,0,1341
1,5,FORD,EXPLORER 4WD V6 4.0L,XLT,4D SUV 4.0L FFV XLT,RED,AUTO,1.0,Alloy,73990,AMERICAN,MEDIUM SUV,6656.0,8144.0,7688.0,9296.0,6641.0,8052.0,7672.0,9196.0,7640.0,0,1740
0,6,CHEVROLET,TAHOE 4WD 5.3L V8 SF,Z71,4D SUV 5.3L FFV LS,GOLD,AUTO,1.0,Alloy,82213,AMERICAN,LARGE SUV,5978.0,6966.0,6956.0,8023.0,7413.0,8751.0,8506.0,9951.0,8095.0,0,2063
1,6,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,GOLD,AUTO,1.0,Alloy,53604,AMERICAN,LARGE,3164.0,4253.0,3917.0,5093.0,3155.0,4165.0,3907.0,4998.0,4690.0,0,1800
0,6,JEEP,LIBERTY 2WD V6,Spo,4D SUV,SILVER,AUTO,1.0,Alloy,95726,AMERICAN,SMALL SUV,4835.0,5986.0,7494.0,8818.0,5298.0,6670.0,7714.0,9705.0,6535.0,0,765
0,7,FORD,FOCUS 2.0L I4 SFI,ZX3,2D COUPE ZX3,RED,AUTO,2.0,Covers,93210,AMERICAN,COMPACT,2646.0,3434.0,3358.0,4209.0,2235.0,2961.0,2914.0,3698.0,3100.0,0,1641
0,6,FORD,TAURUS,SE,4D SEDAN SE,GREY,AUTO,1.0,Alloy,91183,AMERICAN,MEDIUM,3461.0,4442.0,6425.0,7288.0,3440.0,4530.0,6509.0,7879.0,3660.0,0,1053
0,3,KIA,SPECTRA 2.0L I4 EFI,EX,4D SEDAN,WHITE,MANUAL,2.0,Covers,58918,OTHER ASIAN,MEDIUM,5519.0,6383.0,6461.0,7394.0,4940.0,5908.0,5835.0,6881.0,5200.0,0,505
0,4,FORD,F150 PICKUP 2WD V6,STX,REG CAB 4.2L STX,WHITE,AUTO,1.0,Alloy,80387,AMERICAN,LARGE TRUCK,7582.0,9652.0,12190.0,14255.0,7564.0,9726.0,11241.0,13715.0,7130.0,0,594
0,3,CHEVROLET,COBALT,LS,4D SEDAN LS,RED,AUTO,2.0,Covers,58506,AMERICAN,COMPACT,5418.0,6435.0,8515.0,9683.0,4872.0,5828.0,8228.0,9300.0,4965.0,0,671
0,6,CHRYSLER,SEBRING V6,LXi,4D SEDAN LXI,GOLD,AUTO,1.0,Alloy,72574,AMERICAN,MEDIUM,2880.0,4084.0,6781.0,7826.0,3467.0,4236.0,6961.0,7681.0,5330.0,0,1272
0,5,JEEP,GRAND CHEROKEE 2WD V,Lar,4D WAGON LAREDO,BLUE,AUTO,,,73781,AMERICAN,MEDIUM SUV,8006.0,9408.0,11677.0,14035.0,8848.0,10227.0,11999.0,13643.0,9240.0,0,1740
0,3,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,BLUE,AUTO,2.0,Covers,48635,AMERICAN,LARGE,6858.0,8107.0,7907.0,9256.0,6858.0,8107.0,7907.0,9256.0,7900.0,0,1328
0,3,CHEVROLET,COBALT,LT,4D SEDAN LS,RED,AUTO,2.0,Covers,73836,AMERICAN,COMPACT,5454.0,6289.0,8654.0,9663.0,5287.0,6311.0,9270.0,10126.0,6750.0,0,803
0,3,CHEVROLET,IMPALA 3.5L V6 SFI,LT,4D SEDAN LT 3.5L,BLACK,AUTO,2.0,Covers,70292,AMERICAN,LARGE,7217.0,8675.0,8294.0,9869.0,7128.0,8295.0,10644.0,11897.0,8020.0,0,1974
0,7,DODGE,1500 RAM PICKUP 2WD,ST,REG CAB 4.7L,GOLD,AUTO,1.0,Alloy,43840,AMERICAN,LARGE TRUCK,4217.0,5293.0,5054.0,6216.0,4217.0,5293.0,5054.0,6216.0,7600.0,0,993
0,4,JEEP,GRAND CHEROKEE 2WD V,Lar,4D WAGON LAREDO,WHITE,AUTO,1.0,Alloy,84698,AMERICAN,MEDIUM SUV,8967.0,10264.0,10184.0,11585.0,8229.0,9710.0,11506.0,13657.0,7985.0,0,1893
1,8,MAZDA,TRIBUTE 4WD V6,ES,4D SPORT UTILITY ES,SILVER,AUTO,1.0,Alloy,92476,OTHER ASIAN,SMALL SUV,3678.0,4882.0,7169.0,8017.0,4627.0,5984.0,8284.0,10030.0,5200.0,0,1930
0,2,KIA,OPTIMA V6,LX,4D SEDAN EX,GOLD,AUTO,1.0,Alloy,65187,OTHER ASIAN,MEDIUM,9923.0,11651.0,12982.0,14046.0,10624.0,12164.0,14114.0,15753.0,7500.0,0,728
1,4,CHRYSLER,TOWN & COUNTRY 2WD V,LX,MINIVAN 3.3L,GREEN,AUTO,,,61502,AMERICAN,VAN,5856.0,7534.0,9486.0,11430.0,5856.0,7534.0,9486.0,11430.0,6655.0,0,1411
1,4,FORD,TAURUS 3.0L V6 EFI,SE,4D WAGON SE,GREY,AUTO,1.0,Alloy,96023,AMERICAN,MEDIUM,4800.0,5915.0,5684.0,6888.0,5759.0,7705.0,6720.0,8821.0,3245.0,0,1053
1,5,FORD,FOCUS,ZX4,4D SEDAN ZX4,RED,AUTO,2.0,Covers,83829,AMERICAN,COMPACT,3339.0,4259.0,6127.0,7192.0,3742.0,4820.0,7144.0,7973.0,5685.0,0,1243
0,4,JEEP,GRAND CHEROKEE 2WD V,Lar,4D WAGON LAREDO,SILVER,AUTO,1.0,Alloy,64304,AMERICAN,MEDIUM SUV,9244.0,10567.0,10484.0,11912.0,8864.0,10253.0,10073.0,11573.0,9055.0,0,1508
0,1,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,RED,AUTO,1.0,Alloy,71954,OTHER ASIAN,MEDIUM,8613.0,9233.0,11860.0,12714.0,8546.0,9290.0,12176.0,12916.0,8860.0,0,569
0,5,CHEVROLET,SUBURBAN 1500 2WD 5.,150,4D UTILITY 5.3L FFV,MAROON,AUTO,1.0,Alloy,84970,AMERICAN,LARGE SUV,8657.0,10201.0,9850.0,11517.0,6351.0,7750.0,11402.0,12757.0,10675.0,0,1763
0,4,PONTIAC,GRAND AM V6 3.4L V6,SE,4D SEDAN SE,WHITE,AUTO,2.0,Covers,81031,AMERICAN,MEDIUM,3976.0,5007.0,4794.0,5908.0,3976.0,5007.0,4794.0,5908.0,4760.0,0,2412
0,2,CHEVROLET,MALIBU V6 3.5L V6 MF,LS,4D SEDAN,GREY,AUTO,2.0,Covers,74251,AMERICAN,MEDIUM,6295.0,7855.0,7299.0,8983.0,6295.0,7855.0,7299.0,8983.0,5800.0,0,1272
0,5,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,70578,AMERICAN,LARGE,4036.0,5196.0,4859.0,6112.0,4203.0,5143.0,5039.0,6054.0,5625.0,0,1974
1,3,SUZUKI,FORENZA 2.0L I4 EFI,,4D WAGON,SILVER,AUTO,,,73421,OTHER ASIAN,MEDIUM,4195.0,5249.0,5031.0,6169.0,4222.0,5329.0,5060.0,6255.0,4820.0,0,569
0,4,CHEVROLET,MALIBU 4C,LT,4D SEDAN LT,BLUE,AUTO,2.0,Covers,82263,AMERICAN,MEDIUM,6369.0,7646.0,9691.0,10625.0,6343.0,7627.0,9522.0,11056.0,7010.0,0,1113
0,6,DODGE,STRATUS V6,SE,4D SEDAN SE,GOLD,AUTO,2.0,Covers,84462,AMERICAN,MEDIUM,3437.0,4976.0,6728.0,8563.0,3065.0,4145.0,6621.0,7653.0,4465.0,0,1503
0,4,NISSAN,SENTRA,Bas,4D SEDAN 1.8,WHITE,AUTO,2.0,Covers,86125,TOP LINE ASIAN,COMPACT,5248.0,6467.0,8771.0,9687.0,5292.0,6423.0,9024.0,10045.0,6700.0,0,594
1,6,OLDSMOBILE,ALERO V6,GL,4D SEDAN GL,WHITE,AUTO,1.0,Alloy,90655,AMERICAN,MEDIUM,2889.0,3982.0,5978.0,6752.0,2881.0,4066.0,6004.0,7087.0,5185.0,0,2639
0,3,FORD,FOCUS 2.0L I4 SFI,ZX4,4D SEDAN ZX4,SILVER,AUTO,2.0,Covers,48317,AMERICAN,COMPACT,4820.0,5810.0,5706.0,6775.0,5271.0,6249.0,6193.0,7249.0,5510.0,0,834
0,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,WHITE,AUTO,2.0,Covers,83890,AMERICAN,LARGE,6410.0,7753.0,10273.0,11688.0,6061.0,7464.0,9316.0,11213.0,7470.0,0,2152
0,7,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,GOLD,AUTO,1.0,Alloy,46671,AMERICAN,MEDIUM,2516.0,3740.0,3217.0,4539.0,2369.0,3461.0,5230.0,6630.0,4550.0,0,993
1,6,PONTIAC,SUNFIRE 2.2L I4 MPI,SE,2D COUPE SE,BLUE,AUTO,2.0,Covers,80058,AMERICAN,COMPACT,2656.0,3577.0,3368.0,4363.0,2656.0,3577.0,3368.0,4363.0,4125.0,0,1543
0,4,MITSUBISHI,LANCER,ES,4D SEDAN ES,SILVER,AUTO,2.0,Covers,79736,OTHER ASIAN,COMPACT,5641.0,6865.0,8854.0,10356.0,4806.0,6089.0,8144.0,9504.0,5770.0,0,569
0,4,SUZUKI,FORENZA,S,4D SEDAN,BLUE,AUTO,2.0,Covers,40211,OTHER ASIAN,MEDIUM,3347.0,4254.0,4115.0,5094.0,2928.0,3871.0,6178.0,7003.0,4580.0,0,482
1,5,FORD,EXPEDITION 2WD V8 4.,XLT,4D SUV 4.6L XLT,SILVER,AUTO,1.0,Alloy,73640,AMERICAN,LARGE SUV,8539.0,9846.0,9722.0,11134.0,8987.0,10250.0,10206.0,11570.0,10000.0,0,1038
0,4,GMC,ENVOY 2WD 6C 4.2L I6,SLE,4D UTILITY 4.2L,GREY,AUTO,1.0,Alloy,85025,AMERICAN,MEDIUM SUV,8594.0,9901.0,9782.0,11193.0,7923.0,9661.0,9057.0,10934.0,8605.0,0,1243
0,2,DODGE,CALIBER,SE,4D WAGON,BLACK,AUTO,2.0,Covers,53830,AMERICAN,MEDIUM,7048.0,7614.0,11006.0,11599.0,7269.0,7898.0,10834.0,11413.0,6200.0,0,754
1,6,NISSAN,ALTIMA 3.5L V6 MPI,SE,4D SEDAN SE,SILVER,AUTO,1.0,Alloy,89705,TOP LINE ASIAN,MEDIUM,6020.0,7535.0,7002.0,8638.0,4932.0,6038.0,8201.0,9613.0,6805.0,0,1023
0,4,PONTIAC,SUNFIRE,,2D COUPE SE,SILVER,AUTO,2.0,Covers,61273,AMERICAN,COMPACT,3376.0,4373.0,6617.0,7793.0,3408.0,4407.0,6589.0,7461.0,3805.0,0,1020
0,1,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,31440,AMERICAN,MEDIUM,7033.0,7399.0,10216.0,10748.0,8474.0,8977.0,11312.0,11984.0,7400.0,0,882
0,5,SUZUKI,FORENZA,S,4D SEDAN,GOLD,AUTO,2.0,Covers,66184,OTHER ASIAN,MEDIUM,2961.0,3648.0,5452.0,6291.0,2495.0,3440.0,4167.0,5745.0,4650.0,0,533
0,3,CHRYSLER,TOWN & COUNTRY FWD V,Tou,MINIVAN 3.8L,BEIGE,AUTO,1.0,Alloy,79237,AMERICAN,VAN,9606.0,12019.0,10874.0,13481.0,8962.0,11587.0,10179.0,13014.0,7330.0,0,1623
0,7,MAZDA,TRIBUTE 4WD V6 3.0L,ES,4D SPORT UTILITY ES,WHITE,AUTO,1.0,Alloy,85481,OTHER ASIAN,SMALL SUV,4617.0,5529.0,5486.0,6471.0,4617.0,5529.0,5486.0,6471.0,6065.0,0,1803
1,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,WHITE,AUTO,2.0,Covers,57374,AMERICAN,LARGE,4272.0,5692.0,5114.0,6647.0,3944.0,5200.0,7258.0,9129.0,5425.0,0,1500
0,3,FORD,MUSTANG V6,Bas,2D COUPE,RED,AUTO,1.0,Alloy,70429,AMERICAN,SPORTS,11068.0,12771.0,15114.0,16621.0,10594.0,12239.0,14915.0,16117.0,9635.0,0,803
0,6,SATURN,ION 2.2L I4 MPI,3,2D QUAD COUPE LEVEL 3,SILVER,MANUAL,1.0,Alloy,43813,AMERICAN,MEDIUM,3750.0,4614.0,4550.0,5483.0,4070.0,5280.0,4896.0,6202.0,5730.0,0,923
0,3,DODGE,CALIBER,SXT,4D WAGON SXT,SILVER,AUTO,2.0,Covers,70492,AMERICAN,MEDIUM,6838.0,8092.0,10308.0,11567.0,6619.0,7786.0,10619.0,11504.0,6880.0,0,920
0,1,CHRYSLER,SEBRING 4C,LX,4D SEDAN,SILVER,AUTO,2.0,Covers,40083,AMERICAN,MEDIUM,8716.0,9205.0,12451.0,12959.0,8706.0,9105.0,12836.0,13424.0,8200.0,0,834
1,3,CHEVROLET,AVEO 1.6L I4 EFI / M,LT,4D SEDAN LT,BLUE,AUTO,,,41310,AMERICAN,COMPACT,5285.0,6686.0,6208.0,7721.0,5285.0,6686.0,6208.0,7721.0,5195.0,0,623
0,2,SUZUKI,SX4 2.0L I4 EFI,Bas,4D HATCHBACK AWD,ORANGE,AUTO,1.0,Alloy,67833,OTHER ASIAN,COMPACT,8752.0,9896.0,9952.0,11188.0,7163.0,8812.0,11291.0,12134.0,7245.0,0,728
0,4,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,WHITE,AUTO,1.0,Alloy,59154,AMERICAN,LARGE,4573.0,5967.0,5439.0,6944.0,4573.0,5967.0,5439.0,6944.0,5305.0,0,1500
0,6,CHEVROLET,TRAILBLAZER EXT 2WD,LT,4D SUV 4.2L LS,BLACK,AUTO,1.0,Alloy,90561,AMERICAN,MEDIUM SUV,5751.0,7238.0,9140.0,10526.0,6149.0,7403.0,9594.0,10467.0,8100.0,0,1341
0,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,BLACK,AUTO,2.0,Covers,81241,AMERICAN,LARGE,8012.0,9027.0,11396.0,12565.0,7930.0,9129.0,11421.0,12726.0,7500.0,0,2152
0,7,JEEP,LIBERTY 4WD V6 3.7L,Spo,4D SUV SPORT,BLUE,AUTO,1.0,Alloy,69578,AMERICAN,SMALL SUV,4940.0,6049.0,5835.0,7033.0,4962.0,6073.0,5859.0,7059.0,6715.0,0,1125
1,4,DODGE,NEON 2.0L I4 SFI,SXT,4D SEDAN SXT,RED,AUTO,1.0,Alloy,46331,AMERICAN,COMPACT,3414.0,4480.0,4187.0,5338.0,3414.0,4480.0,4187.0,5338.0,5125.0,0,553
0,7,HONDA,ACCORD 4C,LX,4D SEDAN LX 5SP,GREEN,AUTO,2.0,Covers,52036,TOP LINE ASIAN,MEDIUM,5314.0,6816.0,8591.0,10463.0,4753.0,5800.0,7671.0,8684.0,8050.0,0,805
0,3,CHEVROLET,COBALT,LS,4D SEDAN LS,WHITE,AUTO,2.0,Covers,62324,AMERICAN,COMPACT,5630.0,6698.0,8910.0,10051.0,5016.0,5911.0,8511.0,9229.0,5825.0,0,728
1,9,CHEVROLET,VENTURE FWD V6,Plu,PASSENGER EXT 3.4L WARNER BROS,BLACK,AUTO,1.0,Alloy,93826,AMERICAN,VAN,2897.0,3834.0,5600.0,6445.0,2508.0,3473.0,5603.0,7060.0,4150.0,0,5913
0,4,FORD,EXPLORER 2WD V6 4.0L,XLT,4D SUV 4.0L FFV XLT,RED,AUTO,1.0,Alloy,85772,AMERICAN,MEDIUM SUV,7513.0,8896.0,8614.0,10108.0,7781.0,9259.0,8903.0,10500.0,7150.0,0,1243
0,6,FORD,EXPEDITION 2WD V8 4.,XLT,4D SUV 4.6L XLT,GREY,AUTO,1.0,Alloy,81660,AMERICAN,LARGE SUV,7188.0,8484.0,8263.0,9663.0,6615.0,7730.0,7644.0,8848.0,9345.0,0,1413
0,4,JEEP,LIBERTY 2WD V6,Ren,4D SUV RENEGADE,BEIGE,AUTO,1.0,Alloy,71266,AMERICAN,SMALL SUV,6644.0,8466.0,7676.0,9643.0,7466.0,8512.0,11471.0,13017.0,6225.0,0,686
0,3,KIA,SPECTRA,EX,4D SEDAN EX,GOLD,AUTO,2.0,Covers,68729,OTHER ASIAN,MEDIUM,5148.0,6352.0,6060.0,7360.0,4723.0,5797.0,7971.0,9013.0,6605.0,0,533
0,5,DODGE,STRATUS V6 2.7L V6 M,SE,4D SEDAN,GREY,AUTO,1.0,Alloy,65626,AMERICAN,MEDIUM,2744.0,3836.0,3464.0,4643.0,2804.0,4020.0,3528.0,4842.0,4935.0,0,1215
0,6,MAZDA,TRIBUTE 2WD V6 3.0L,LX,4D SPORT UTILITY LX,SILVER,AUTO,1.0,Alloy,74448,OTHER ASIAN,SMALL SUV,4883.0,6110.0,5774.0,7099.0,4512.0,5780.0,5373.0,6742.0,7130.0,0,1220
0,1,DODGE,CALIBER 2.0L I4 SFI,SE,4D WAGON,BLACK,AUTO,1.0,Alloy,52616,AMERICAN,MEDIUM,7171.0,7771.0,8245.0,8893.0,7269.0,7898.0,10834.0,11413.0,6700.0,0,754
0,4,FORD,F150 PICKUP 2WD V8 4,STX,EXT CAB 4.6L STX,RED,AUTO,1.0,Alloy,83000,AMERICAN,LARGE TRUCK,6593.0,8219.0,7620.0,9377.0,7167.0,8921.0,8240.0,10135.0,9040.0,0,853
0,3,NISSAN,ALTIMA 2.5L I4 MPI,Bas,4D SEDAN,BEIGE,AUTO,2.0,Covers,67656,TOP LINE ASIAN,MEDIUM,9691.0,11488.0,10966.0,12907.0,8652.0,10479.0,9844.0,11817.0,7930.0,0,630
0,4,HONDA,CIVIC,VP,4D SEDAN DX AUTO,GREY,AUTO,3.0,Special,75230,TOP LINE ASIAN,COMPACT,6464.0,7819.0,7481.0,8945.0,6464.0,7819.0,7481.0,8945.0,6500.0,0,686
0,6,DODGE,DURANGO 4WD V8,Lim,4D SUV 5.7L LIMITED,BLACK,AUTO,1.0,Alloy,81703,AMERICAN,MEDIUM SUV,8851.0,10196.0,12795.0,14122.0,7744.0,9524.0,11599.0,13256.0,10300.0,0,1763
0,4,MAZDA,MAZDA6 2.3L I4 MFI /,i,4D SEDAN I,SILVER,AUTO,2.0,Covers,92851,OTHER ASIAN,MEDIUM,7803.0,9730.0,8927.0,11008.0,6129.0,7344.0,9717.0,11333.0,6795.0,0,1485
1,5,MAZDA,MAZDA6,s,4D SEDAN S,BLUE,AUTO,1.0,Alloy,83541,OTHER ASIAN,MEDIUM,6187.0,7647.0,9396.0,10883.0,5703.0,7398.0,9111.0,11113.0,8050.0,0,1633
0,8,TOYOTA,HIGHLANDER 2WD V6,Lim,4D SPORT UTILITY,SILVER,AUTO,1.0,Alloy,90045,TOP LINE ASIAN,MEDIUM SUV,6869.0,7636.0,9848.0,10948.0,7874.0,8950.0,11362.0,12914.0,9535.0,0,920
0,4,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER EXT 3.5L LS,GOLD,AUTO,1.0,Alloy,55186,AMERICAN,VAN,6609.0,8520.0,7638.0,9702.0,6609.0,8520.0,7638.0,9702.0,6280.0,0,1583
0,2,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLACK,AUTO,2.0,Covers,56090,AMERICAN,MEDIUM,6375.0,7143.0,9750.0,10494.0,6650.0,7599.0,9891.0,10751.0,6575.0,0,1086
0,2,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,BLUE,AUTO,1.0,Alloy,65667,AMERICAN,LARGE,7513.0,8711.0,8614.0,9908.0,7513.0,8711.0,8614.0,9908.0,7890.0,0,1703
1,3,GMC,1500 SIERRA PICKUP 2,SLE,REG CAB 4.3L,WHITE,AUTO,2.0,Covers,84387,AMERICAN,LARGE TRUCK,7060.0,8880.0,8125.0,10090.0,7418.0,8830.0,8511.0,10036.0,5245.0,0,1373
1,4,NISSAN,MAXIMA 3.5L V6 MPI,SE,4D SEDAN SE,GOLD,AUTO,1.0,Alloy,68711,TOP LINE ASIAN,LARGE,9237.0,11272.0,10476.0,12674.0,8513.0,10268.0,9694.0,11589.0,11060.0,0,1020
